day	S	E	I	R
269 	 38590.81917611019 	 598.5153354460775 	 2501.066455194955 	 70540.56084497033
270 	 38487.33649754075 	 583.1304287909483 	 2442.491220756631 	 70716.90089756179
271 	 38386.541949431674 	 568.1075668995031 	 2385.0232804793145 	 70889.08349160387
272 	 38288.37010231994 	 553.4401967821161 	 2328.655513789338 	 71057.18773012274
273 	 38192.756849235375 	 539.1217618369533 	 2273.3800259961126 	 71221.29217138088
274 	 38099.63939169209 	 525.1457094943192 	 2219.1881970811583 	 71381.47478645228
275 	 38008.956232391756 	 511.5055018576432 	 2166.0707379175356 	 71537.81289965866
276 	 37920.647160578366 	 498.1946224158615 	 2114.017736851562 	 71690.38314992067
277 	 37834.65324108843 	 485.2065849304703 	 2063.018710117319 	 71839.26144240612
278 	 37750.916799265986 	 472.5349397514343 	 2013.0626462165042 	 71984.5229129192
279 	 37669.38140639663 	 460.17328020354506 	 1964.1380491621146 	 72126.2418928364
280 	 37589.99186579991 	 448.1152495916942 	 1916.2329843782188 	 72264.49187010914
281 	 37512.694198298115 	 436.35454747797786 	 1869.3351222232684 	 72399.34545399447
282 	 37437.435618993906 	 424.8849295935874 	 1823.4317610058583 	 72530.8743753498
283 	 37364.16452872626 	 413.7002188080105 	 1778.5098852733377 	 72659.14942591924
284 	 37292.830490775705 	 402.7943041851497 	 1734.5561830598006 	 72784.24046532415
285 	 37223.38421611939 	 392.16114737578647 	 1691.5570901242124 	 72906.21638517754
286 	 37155.77754546064 	 381.7947858996294 	 1649.4988211501275 	 73025.1450925727
287 	 37089.963428267154 	 371.68933365896174 	 1608.3673898401232 	 73141.09351043697
288 	 37025.895908117425 	 361.8389874304709 	 1568.1486546268095 	 73254.12753998245
289 	 36963.5301006787 	 352.2380246037339 	 1528.8283280817657 	 73364.31207558064
290 	 36902.8221771024 	 342.8808085030098 	 1490.3920168449804 	 73471.71097611576
291 	 36843.729344438216 	 333.76178868674754 	 1452.8252390494908 	 73576.38706684652
